id,language,question_id,question,label,numerical_label,author,topic,test_set,comment
17820,de,3415,Sollen die Renten der Pensionskasse durch eine Senkung des Umwandlungssatzes gekürzt und an die gestiegene Lebenserwartung angepasst werden?,AGAINST,25,aea1e176f453,Welfare,new_comments_defr,Il faut chercher d'autres solutions et les coûts de subsistance (y compris les loyers) continuent à augmenter.
17821,de,3416,Befürworten Sie Bestrebungen in den Kantonen zur Senkung der Sozialhilfeleistungen?,AGAINST,25,aea1e176f453,Welfare,new_comments_defr,Les cantons doivent s'occuper des abus de prestations.
17823,de,3423,Soll sich der Staat stärker für gleiche Bildungschancen einsetzen (z.B. mit Nachhilfe-Gutscheinen für Schüler/-innen aus Familien mit geringem Einkommen)?,FAVOR,100,aea1e176f453,Education,new_comments_defr,L'éducation est une de nos ressources et devrait être renforcée partout où possible.
17824,de,3446,Soll der Ausbau des Mobilfunknetzes nach 5G-Standard weiter vorangetrieben werden?,AGAINST,25,aea1e176f453,Digitisation,new_comments_defr,L'élargissement doit être abandonné tant que l'impact sur l'homme n'est pas clarifié.
18220,de,3414,Eine Initiative fordert einen bezahlten Vaterschaftsurlaub von vier Wochen. Befürworten Sie dieses Anliegen?,AGAINST,0,953e5b52fe06,Welfare,new_comments_defr,"Non, car je soutiens la contre-proposition de deux semaines."
19183,de,3391,Soll der Bund Ausländer/-innen bei der Integration stärker unterstützen?,AGAINST,0,c08de1e9364b,Immigration,new_comments_defr,"L'intégration doit avoir lieu volontairement, d'une part par la population, d'autre part par les personnes concernées."
19184,de,3433,Sollen die Regeln der Fortpflanzungsmedizin weiter gelockert werden?,FAVOR,75,c08de1e9364b,Society,new_comments_defr,Je pense que chaque personne a le droit de savoir qui sont ses parents biologiques.
19185,de,3436,Haben für Sie Steuersenkungen auf Bundesebene in den nächsten vier Jahren Priorität?,FAVOR,75,c08de1e9364b,Finances,new_comments_defr,"Pour les personnes physiques oui, pour les personnes juridiques non... je vous prie de poser une question plus précise!"
19187,de,3451,Sollen stark befahrene Autobahnabschnitte auf sechs Spuren ausgebaut werden?,FAVOR,75,c08de1e9364b,Infrastructure & Environment,new_comments_defr,Il serait préférable que les entreprises fassent attention à recruter des employés de la région.
19188,de,3456,Befürworten Sie einen Ausbau des Landschaftsschutzes (z.B. strengere Regeln zum Bauen ausserhalb bestehender Bauzonen)?,FAVOR,100,c08de1e9364b,Infrastructure & Environment,new_comments_defr,Mais il faut aussi renforcer la croissance démographique
19190,de,3462,Sollen Exporte von Kriegsmaterial aus der Schweiz verboten werden?,AGAINST,25,c08de1e9364b,Security,new_comments_defr,"En général, il n'en est pas ainsi, mais dans les pays en guerre, oui, s'il vous plaît poser une question plus précise..."
19425,de,3414,Eine Initiative fordert einen bezahlten Vaterschaftsurlaub von vier Wochen. Befürworten Sie dieses Anliegen?,FAVOR,100,38efe9f72af4,Welfare,new_comments_defr,Il faut au moins 38 semaines de congé parental.
19426,de,3426,Gemäss dem Konzept der integrativen Schule werden Kinder mit Lernschwierigkeiten oder Behinderungen grundsätzlich in regulären Schulklassen unterrichtet. Befürworten Sie dies?,FAVOR,75,38efe9f72af4,Education,new_comments_defr,Dans la mesure où les ressources personnelles nécessaires sont disponibles.
19427,de,3427,"Sollen Ausländer/-innen, die seit mindestens zehn Jahren in der Schweiz leben, das Stimm- und Wahlrecht auf Gemeindeebene erhalten?",FAVOR,100,38efe9f72af4,Immigration,new_comments_defr,"En même temps, le droit de vote et d'élection au niveau cantonal et national."
19429,de,3433,Sollen die Regeln der Fortpflanzungsmedizin weiter gelockert werden?,FAVOR,75,38efe9f72af4,Society,new_comments_defr,"Mais il est fortement lié à l'industrie, qui ne doit pas permettre d'exploiter les gens commercialement."
19430,de,3435,"Würden Sie es befürworten, wenn in der Schweiz die direkte aktive Sterbehilfe durch eine/-n Arzt/Ärztin straffrei möglich wäre?",AGAINST,25,38efe9f72af4,Society,new_comments_defr,"Je soutiens l'aide à la mort passive et non bénéfique en vertu de la loi en vigueur, à condition d'une lutte efficace contre les abus."
19431,de,3440,Sollen Privathaushalte ihren Stromanbieter frei wählen können (vollständige Liberalisierung des Strommarktes)?,AGAINST,25,38efe9f72af4,Economy,new_comments_defr,Le marché de l'électricité doit encore satisfaire aux exigences d'un service public et être contrôlé démocratiquement.
19433,de,3468,Soll die Schweiz Verhandlungen über den Beitritt zur EU aufnehmen?,AGAINST,25,38efe9f72af4,Foreign Policy,new_comments_defr,"L'adhésion à l'UE n'aurait aucune chance dans la population actuellement, il est donc inutile d'entamer des négociations."
19568,de,3412,Befürworten Sie eine Erhöhung des Rentenalters (z.B. auf 67 Jahre)?,FAVOR,75,dd09204d16c8,Welfare,new_comments_defr,"Il faut une flexibilité et un modèle avec, par exemple, 40 ans de durée de vie."
19569,de,3414,Eine Initiative fordert einen bezahlten Vaterschaftsurlaub von vier Wochen. Befürworten Sie dieses Anliegen?,AGAINST,25,dd09204d16c8,Welfare,new_comments_defr,Un congé parental qui permet aux couples qui travaillent de choisir flexiblement une partie est plus efficace.
19570,de,3416,Befürworten Sie Bestrebungen in den Kantonen zur Senkung der Sozialhilfeleistungen?,FAVOR,75,dd09204d16c8,Welfare,new_comments_defr,Le travail doit être rentable et les prestations sociales ne doivent donc pas être plus attrayantes que les salaires plus bas avec des réductions d'impôt.
19571,de,3417,Soll der Bund den gemeinnützigen Wohnungsbau verstärkt fördern?,AGAINST,25,dd09204d16c8,Welfare,new_comments_defr,"Je soutiens une promotion ciblée des logements selon le principe du loyer des coûts et des demandes réduites en termes de taille (réduction des surfaces) et de l'équipement des logements (par exemple, seulement 1 cellule d'eau)."
19572,de,3429,Sollen Sans-Papiers einfacher einen geregelten Aufenthaltsstatus erhalten?,AGAINST,25,dd09204d16c8,Immigration,new_comments_defr,"Mais il faut trouver une solution pour les personnes qui sont présentes depuis longtemps, en tenant compte de la capacité de travail et du degré d'intégration des personnes concernées comme indicateurs d'amélioration du statut."
20159,de,3426,Gemäss dem Konzept der integrativen Schule werden Kinder mit Lernschwierigkeiten oder Behinderungen grundsätzlich in regulären Schulklassen unterrichtet. Befürworten Sie dies?,AGAINST,25,59792363c181,Education,new_comments_defr,Seulement si le reste de la classe n'est pas entravé par la progression du tissu.
20160,de,3453,"Befürworten Sie eine Lockerung der aktuell gültigen Schutzbestimmungen für Grossraubtiere (Luchs, Wolf, Bär)?",FAVOR,75,59792363c181,Infrastructure & Environment,new_comments_defr,"Là où un gros reptile devient un danger pour l'homme, il faut intervenir."
