question,id,question_id,language,comment,label,numerical_label,author,topic
Sollte die Konföderation den Bau von Wohnungen für den öffentlichen Gebrauch weiter fördern?,17285,3417,fr,"Wenn staatliche Intervention notwendig ist, ist es Aufgabe der Kantone, die",AGAINST,0,79809a69cf66,Welfare
"Glauben Sie, dass es gerecht ist, dass Schulen Schulvergünstigungen für bestimmte Themen oder Veranstaltungen (z. B. Sport oder Sexualerziehung) aus religiösen Gründen gewährt?",17286,3424,fr,"Die Antwort gilt vor allem für die Ansprüche, die von der Gemeinschaft geprägt sind, und die Frage ist schwieriger, wenn es um sexuelle Bildung geht, die grundsätzlich auf Eltern und nicht auf der Schule liegt.",AGAINST,0,79809a69cf66,Education
Sollte die Konföderation die Ausländer in ihrer Integration stärker unterstützen?,17288,3391,fr,"Die Einbindung ist das Ergebnis eines individuellen Vorgehens, und es ist nicht klar, warum Bewerbern für die Einbürgerschaft etwas zugestellt werden sollte, was den Schweizern nicht zugestellt wird.",AGAINST,0,79809a69cf66,Immigration
Sollte die Regulierung der medizinisch unterstützten Fortpflanzung erleichtert werden?,17289,3433,fr,"Sie sollte nicht in ihren Grundebedingungen so sein, aber ihre Bedingungen für die Pflege durch die obligatorische Krankenversicherung sollten gelößt werden, denn die PMA sollte nicht ein Luxus für die Reichen sein.",AGAINST,0,79809a69cf66,Society
Sollten Privathaushalte frei ihren Stromversorger wählen können (vollständige Liberalisierung des Strommarktes)?,17290,3440,fr,"Die volle Liberalisierung des Strommarktes ist die sicherste Möglichkeit, die Kontrolle über einen strategischen Bereich (insbesondere für Wasserkraft-Produzenten wie Valais) zu verlieren, und zwar für Akteure oder sogar für ausländische Staaten.",AGAINST,0,79809a69cf66,Economy
Würden Sie eine vollständige Liberalisierung der Ladenzeit befürworten?,17291,3443,fr,"Es ist nicht möglich, alles (Sonntagspause, Arbeitsbedingungen für Arbeitnehmer) unter dem Vorwand der wirtschaftlichen Entwicklung oder des Wettbewerbs mit dem Grenzhandel zu verhüten.",AGAINST,0,79809a69cf66,Economy
Sollte der Schutz vor Entlassungen älterer Arbeitnehmer stärker werden?,17292,3444,fr,"Um die schädlichen Auswirkungen von einigen zusätzlichen Arbeitsrechtbeschränkungen zu vermeiden (die durch eine Verhärtung der Arbeitgeber davon abhalten könnten, ältere Arbeitnehmer einzuwerben), sollten vor allem andere Anreizwege untersucht werden (z. B. Reduktion von Sozialbeiträgen, Zugang zu den RAPs für ältere Arbeitnehmer, die nicht mehr als rechtmäßig arbeitslos sind).",FAVOR,100,79809a69cf66,Economy
Soll die Erweiterung des Mobilfunknetzes nach dem 5G-Standard weitergehen?,17293,3446,fr,"Die Vorsicht sollte uns dazu bewegen, nicht mit dem Schwerpunkt auf Technologie zu gehen, die für unser Alltag nicht von entscheidender Bedeutung ist, aber deren Risiken noch weitgehend unbekannt sind.",AGAINST,25,79809a69cf66,Digitisation
"Eine Initiative fordert, dass die Schweiz ab 2050 nicht mehr fossil benötigt.",17294,3448,fr,Die Kommission hat die Kommission mit der Erarbeitung der Richtlinie über die Nutzung von Energie und Energie in den ländlichen Gebieten in den Mitgliedstaaten und in den Ländern mit dem Ausbau von Energie und Energie in den Mitgliedstaaten in Zusammenarbeit mit den Mitgliedstaaten übermittelt.,AGAINST,0,79809a69cf66,Infrastructure & Environment
"Die Kommission hat die Kommission mit der Kommission übermittelt, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit hat, die Kommission zu prüfen, ob die Kommission die Möglichkeit zur Durchführung der Maßnahmen zur Förderung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der Verringerung der",17295,3449,fr,"Eine solche Ausdehnung wäre für die Wallisans und die Wallisans katastrophal, die mehr als andere von Fahrzeugen und Straßenverkehr abhängig sind, und für sie eine dramatische Erhöhung der Lebenskosten, auch für Haushalte und Menschen mit niedrigem Einkommen, darstellt.",AGAINST,0,79809a69cf66,Infrastructure & Environment
